member_srl,ref_dt,rct_dt,dsl,dpo,label
45022,20171122,20171017,36,37.0,0
45022,20171207,20171017,51,37.0,0
45022,20171222,20171017,66,37.0,0
45022,20180107,20171017,82,37.0,1
45022,20180122,20180110,12,53.0,0
45022,20180207,20180110,28,53.0,0
45022,20180222,20180110,43,53.0,0
45022,20180307,20180110,56,53.0,0
45022,20180322,20180110,71,53.0,0
45022,20180407,20180110,87,53.0,0
45022,20180422,20180110,102,53.0,0
45022,20180507,20180110,117,53.0,0
45022,20180522,20180110,132,53.0,0
45022,20180607,20180110,148,53.0,1
45632,20171222,20171210,12,0.0,0
45632,20180107,20171210,28,0.0,0
45632,20180122,20171210,43,0.0,0
45632,20180207,20171210,59,0.0,0
45632,20180222,20171210,74,0.0,0
45632,20180307,20171210,87,0.0,0
45632,20180322,20180322,0,0.0,0
45632,20180407,20180322,16,51.0,0
45632,20180422,20180322,31,51.0,0
45632,20180507,20180322,46,51.0,0
49091,20170807,20170731,7,0.0,0
49091,20170822,20170731,22,0.0,0
49091,20170907,20170731,38,0.0,1
49091,20170922,20170911,11,14.0,1
49091,20171007,20171001,6,15.5,0
49091,20171022,20171001,21,15.5,0
49091,20171107,20171001,37,15.5,1
49091,20171122,20171116,6,18.0,0
49091,20171207,20171207,0,18.0,1
49091,20171222,20171212,10,16.75,1
49091,20180107,20171226,12,16.4444444444444,1
49091,20180122,20180109,13,16.2,1
49091,20180207,20180203,4,17.0,0
49091,20180222,20180203,19,17.0,0
49091,20180307,20180203,32,17.0,0
49091,20180322,20180203,47,17.0,0
49091,20180407,20180203,63,17.0,0
49091,20180422,20180203,78,17.0,0
49091,20180507,20180203,93,17.0,1
49091,20180522,20180519,3,24.3333333333333,1
49091,20180607,20180603,4,21.9285714285714,0
49091,20180622,20180603,19,21.9285714285714,0
51763,20170822,20170814,8,0.0,0
51763,20170907,20170814,24,0.0,1
51763,20170922,20170921,1,12.6666666666667,1
51763,20171007,20170924,13,10.25,1
51763,20171022,20171015,7,12.4,0
51763,20171107,20171015,23,12.4,0
51763,20171122,20171015,38,12.4,0
51763,20171207,20171015,53,12.4,1
51763,20171222,20171209,13,19.5,0
51763,20180107,20171209,29,19.5,1
51763,20180122,20180115,7,22.0,1
51763,20180207,20180130,8,18.7777777777778,0
51763,20180222,20180130,23,18.7777777777778,0
51763,20180307,20180130,36,18.7777777777778,0
51763,20180322,20180130,51,18.7777777777778,0
51763,20180407,20180130,67,18.7777777777778,1
51763,20180422,20180416,6,24.5,0
51763,20180507,20180416,21,24.5,1
51763,20180522,20180511,11,24.5454545454545,0
51763,20180607,20180511,27,24.5454545454545,1
51763,20180622,20180614,8,25.3333333333333,0
60009,20171222,20171220,2,0.0,0
60009,20180107,20171220,18,0.0,0
60009,20180122,20171220,33,0.0,0
60009,20180207,20171220,49,0.0,0
60009,20180222,20171220,64,0.0,1
60009,20180307,20180225,10,33.5,0
60009,20180322,20180225,25,33.5,0
60009,20180407,20180225,41,33.5,1
60009,20180422,20180418,4,39.6666666666667,1
60009,20180507,20180424,13,31.25,0
60009,20180522,20180424,28,31.25,1
60009,20180607,20180531,7,32.4,0
60009,20180622,20180531,22,32.4,1
65767,20170722,20170718,4,1.5,0
65767,20170807,20170807,0,1.5,0
65767,20170822,20170807,15,7.66666666666667,0
65767,20170907,20170807,31,7.66666666666667,0
65767,20170922,20170807,46,7.66666666666667,0
65767,20171007,20170807,61,7.66666666666667,0
65767,20171022,20170807,76,7.66666666666667,0
65767,20171107,20170807,92,7.66666666666667,1
65767,20171122,20171112,10,24.0,1
65767,20171207,20171125,12,19.0,1
65767,20171222,20171220,2,19.75,0
65767,20180107,20171220,18,19.75,0
65767,20180122,20171220,33,19.75,0
65767,20180207,20171220,49,19.75,1
65767,20180222,20180218,4,24.2222222222222,0
65767,20180307,20180218,17,24.2222222222222,1
65767,20180322,20180319,3,24.7,0
65767,20180407,20180319,19,24.7,0
65767,20180422,20180319,34,24.7,0
65767,20180507,20180319,49,24.7,0
80761,20170707,20170702,5,0.0,1
80761,20170722,20170713,9,5.5,1
80761,20170807,20170806,1,7.0,1
80761,20170822,20170822,0,6.33333333333333,1
80761,20170907,20170831,7,7.5,1
80761,20170922,20170917,5,7.7,1
80761,20171007,20171001,6,8.27272727272727,1
80761,20171022,20171015,7,8.07692307692308,1
80761,20171107,20171104,3,8.92857142857143,1
80761,20171122,20171117,5,9.2,0
80761,20171207,20171117,20,9.2,1
80761,20171222,20171221,1,9.05263157894737,0
80761,20180107,20171221,17,9.05263157894737,1
80761,20180122,20180114,8,9.8,1
80761,20180207,20180131,7,10.1428571428571,1
80761,20180222,20180221,1,9.75,1
80761,20180307,20180225,10,9.52,1
80761,20180322,20180317,5,9.92307692307692,1
80761,20180407,20180327,11,9.57142857142857,1
80761,20180422,20180410,12,9.72413793103448,1
80761,20180507,20180503,4,10.1666666666667,0
80761,20180522,20180503,19,10.1666666666667,1
80761,20180607,20180606,1,9.68571428571429,1
80761,20180622,20180620,2,9.80555555555556,1
90573,20170807,20170728,10,0.0,0
90573,20170822,20170728,25,0.0,1
90573,20170907,20170906,1,13.3333333333333,1
90573,20170922,20170917,5,12.75,0
90573,20171007,20170917,20,12.75,0
90573,20171022,20170917,35,12.75,0
90573,20171107,20170917,51,12.75,1
90573,20171122,20171121,1,19.3333333333333,0
90573,20171207,20171121,16,19.3333333333333,0
90573,20171222,20171121,31,19.3333333333333,1
90573,20180107,20180105,2,20.125,0
90573,20180122,20180105,17,20.125,0
90573,20180207,20180105,33,20.125,0
90573,20180222,20180105,48,20.125,0
90573,20180307,20180105,61,20.125,0
90573,20180322,20180105,76,20.125,0
